Species	ts	te	trait1	trait2	trait3	trait4	trait5	redundancy
taxon148	28.70682691	17.80120333	2	1	0	4	0	4
taxon149	23.52110644	16.9884731	0	1	0	5	1	2
taxon150	10.54211751	5.77845045	0	1	1	5	1	1
taxon151	3.20496482	2.51547576	0	1	0	5	1	2
taxon152	11.36337349	5.36565461	0	1	0	5	1	2
taxon153	10.87787824	0.85948397	0	1	0	5	1	2
taxon154	11.51923842	2.37853304	0	1	0	5	1	2
taxon155	23.28900868	16.6977251	0	1	0	5	1	2
taxon156	20.86544419	19.68209468	0	1	0	5	1	2
taxon157	20.98474855	19.86419132	0	1	0	5	1	2
taxon158	23.31830586	2.47964709	0	1	0	5	1	2
taxon159	27.89342039	16.1963791	0	1	0	5	2	2
taxon160	3.74901434	1.00842303	3	1	0	2	2	4
taxon161	0.98050084	0.07960971	3	1	0	2	2	4
taxon162	4.49920695	3.81400436	3	1	0	2	2	4
taxon163	5.03755098	4.31316967	3	1	0	2	2	4
taxon164	1.74625732	0.25390331	3	1	0	2	2	4
taxon165	3.09064101	2.40064121	3	1	0	2	2	4
taxon166	23.4040925	12.5642223	0	2	2	3	2	4
taxon167	2.93253996	2.31282598	0	2	2	3	2	4
taxon168	3.19443113	2.5971118	0	2	2	3	2	4
taxon169	3.67950907	1.81813565	0	2	2	3	2	4
taxon170	3.36956507	2.24314553	0	2	2	3	2	4
taxon171	3.33408746	0.66514888	0	2	2	3	2	4
taxon172	23.64865529	16.36527229	0	2	2	3	2	4
taxon173	3.082145	2.28518062	0	2	2	3	2	4
taxon174	1.55901729	1.13731398	0	2	2	3	2	4
taxon175	23.91516469	16.55479387	0	2	2	3	2	4
taxon176	13.85903262	12.63133365	0	1	2	3	2	3
taxon177	16.55870345	10.62764724	0	2	2	3	2	4
taxon178	28.44481354	11.56468769	0	2	2	4	2	2
taxon179	5.34133425	0.72602075	0	2	2	3	2	4
taxon180	23.77155691	15.6613104	0	2	2	3	2	4
taxon181	27.85348754	11.99482209	0	2	2	3	2	4
taxon182	1.37559453	0.87301708	0	2	2	3	2	4
taxon183	15.22996843	14.0037748	0	2	2	3	2	4
taxon184	16.41582535	1.92852228	0	2	2	3	2	4
taxon185	23.72667679	16.52653764	0	2	2	3	2	4
taxon186	3.30192086	2.56568683	0	2	2	3	2	4
taxon187	3.16794965	2.57015259	0	2	2	3	2	4
taxon188	1.50149887	1.07948262	0	2	2	3	2	4
taxon189	8.61028082	1.96923245	0	2	2	3	2	4
taxon190	3.20478192	1.96418923	0	2	2	3	2	4
taxon191	14.07552117	12.96421956	0	2	2	3	2	4
taxon192	23.78358469	12.00417261	0	2	2	3	2	4
taxon193	22.44602225	16.59065502	0	1	2	3	2	3
taxon194	16.2957426	11.29515263	0	2	2	3	2	4
taxon195	26.67513542	18.69040059	0	2	2	3	2	4
taxon196	0.67929576	0.32570218	0	2	2	4	2	2
taxon197	0.62047921	0.32523907	0	2	2	5	2	0
taxon198	16.79344731	11.08595966	0	2	2	3	2	4
taxon199	2.81419106	2.27425515	0	2	2	3	2	4
taxon200	2.75898318	1.93914769	0	2	2	3	2	4
taxon201	10.07762045	0	0	3	1	4	1	4
taxon202	23.13066533	16.85755499	3	1	0	3	3	4
taxon203	27.64134449	24.43043119	3	1	0	3	1	4
taxon204	10.71392706	3.7159206	3	1	0	4	2	4
taxon205	2.82082554	2.17356352	3	1	0	3	3	4
taxon206	9.13352493	1.70987894	3	1	0	3	2	4
taxon207	0.38869085	0.20996093	2	1	0	4	1	4
taxon208	0.69773642	0	2	1	0	5	4	2
taxon209	2.13525459	0	1	3	1	3	1	4
taxon210	1.10998399	0	1	3	1	3	1	4
taxon211	1.60736175	1.20527946	1	3	1	3	1	4
taxon212	3.32304791	0	1	3	1	3	1	4
taxon213	10.63833096	3.62187866	1	3	1	3	1	4
taxon214	2.00497321	0	1	3	1	3	1	4
taxon215	1.95880336	0.85673285	0	3	1	2	3	3
taxon216	21.99511522	0	4	3	1	4	1	2
taxon217	15.53981833	10.11310308	4	3	1	4	1	2
taxon218	0.59451174	0.25858451	0	3	1	3	1	4
taxon219	3.47168574	0	0	3	1	3	1	4
taxon220	1.41365725	1.03585657	0	3	1	3	1	4
taxon221	3.23917569	0.14935999	0	3	1	3	1	4
taxon222	21.72426821	17.01227351	0	3	1	3	1	4
taxon223	1.71265805	0.27487902	0	3	1	3	1	4
taxon224	1.66010406	0	0	3	1	3	1	4
taxon225	0.6881319	0.30762766	0	3	1	3	1	4
taxon226	3.20140923	2.47848241	0	3	1	3	1	4
taxon227	13.70598418	12.59925917	0	1	4	4	2	4
taxon228	21.99883958	16.19599279	0	1	4	4	2	4
taxon229	8.32545431	1.72560018	0	1	4	3	2	3
taxon230	10.51467432	5.76874775	0	1	4	4	2	4
taxon231	5.59127387	2.19516393	0	1	4	4	2	4
taxon232	23.40423087	15.86251117	0	1	4	4	2	4
taxon233	28.1049795	2.99647933	0	1	4	4	3	2
taxon234	15.18904959	0	0	1	4	4	2	4
taxon235	24.01650404	16.55770365	0	1	4	4	2	4
taxon236	8.75681798	7.28632669	0	1	4	4	2	4
taxon237	14.84902553	3.53661956	0	1	4	4	2	4
taxon238	1.66840453	1.19830501	2	1	0	0	2	4
taxon239	2.17668872	0.25332177	2	1	0	0	1	4
taxon240	15.12595891	6.66783648	2	1	0	0	4	4
taxon241	2.03532288	0	2	1	0	0	1	4
taxon242	0.72454718	0	2	1	0	0	1	4
taxon243	0.50793135	0.21267695	2	1	0	0	3	4
taxon244	3.17331751	2.44989504	3	1	0	4	2	4
taxon245	22.89024958	17.51849423	3	1	0	5	1	4
taxon246	28.43357245	17.03391335	0	1	1	4	2	3
taxon247	15.67015592	0	0	1	1	3	2	3
taxon248	27.62717723	6.20335385	0	1	1	4	2	4
taxon249	8.93736452	7.44800071	0	1	1	5	4	4
taxon250	9.87592643	3.34881167	0	1	1	4	2	4
taxon251	23.0893503	0	3	1	0	3	2	4
taxon252	20.96920684	19.67379927	3	1	0	3	2	4
taxon253	8.98942781	8.01682602	3	1	0	3	2	4
taxon254	21.95180536	0	3	1	0	3	1	4
taxon255	4.52857115	3.73011939	3	1	0	3	2	4
taxon256	19.29340207	17.99268891	3	1	0	3	2	4
taxon257	10.44089947	1.81739742	3	1	0	3	2	4
taxon258	9.69855439	8.60182614	3	1	0	3	2	4
taxon259	14.66312528	1.98269959	3	1	0	3	2	4
taxon260	14.95898469	3.89692147	3	1	0	3	2	4
taxon261	9.97674327	5.50463033	0	3	1	4	1	4
taxon262	3.04833689	0	2	1	2	2	3	3
taxon263	1.39331675	0	3	1	0	0	1	3
taxon264	2.90671672	2.28032333	3	1	0	0	1	3
taxon265	0.58237812	0	3	1	0	0	1	3
taxon266	11.66192054	5.02300858	3	1	0	2	3	4
taxon267	20.26572763	3.42436568	3	1	0	2	1	4
taxon268	9.79201675	8.51575417	3	1	0	2	4	4
taxon269	3.25895136	0	3	1	0	2	1	4
taxon270	3.17194189	2.43547595	3	1	0	2	4	4
taxon271	16.8222084	11.44738526	3	1	0	2	2	4
taxon272	10.37669378	0	0	3	1	2	4	2
taxon273	23.86016793	6.91751731	0	3	1	2	4	2
taxon274	5.75765004	3.33089183	3	1	0	2	4	4
taxon275	5.31270219	3.58699216	3	1	0	2	2	4
taxon276	1.7839838	1.23308598	0	1	4	4	2	4
taxon277	3.47969444	1.97938557	0	1	4	4	2	4
taxon278	16.91231491	1.57284268	0	1	4	3	1	3
taxon279	1.53501937	1.12793175	0	1	4	4	2	4
taxon280	1.43887903	0.9483796	0	1	4	4	2	4
taxon281	1.76380478	1.19440798	0	1	4	4	2	4
taxon282	26.86265765	23.85892259	0	1	4	4	2	4
taxon283	31.37415281	0	0	1	4	4	1	3
taxon284	9.3779287	8.32588816	0	1	4	4	2	4
taxon285	3.36650422	2.63542818	0	1	4	4	1	3
taxon286	26.927412	16.14598697	0	1	4	4	1	3
taxon287	8.62433732	7.72222081	0	1	4	4	2	4
taxon288	8.73109338	7.59830969	0	1	4	4	2	4
taxon289	3.61152024	2.00850157	0	1	4	4	1	3
taxon290	3.59606956	0.76687093	0	1	4	4	1	3
taxon291	2.98303973	2.45007126	0	1	4	4	2	4
taxon292	15.22218123	2.30431165	0	1	4	3	1	3
taxon293	21.71234258	0	0	1	4	4	2	4
taxon294	23.19886101	16.75804939	3	1	0	3	2	4
taxon295	23.76201652	11.98360879	3	1	0	3	2	4
taxon296	23.02658736	5.65973667	3	1	0	3	2	4
taxon297	25.99817388	0	3	1	0	4	2	4
taxon298	20.9546449	19.86586895	3	1	0	3	2	4
taxon299	11.1729749	5.39944933	0	1	4	4	2	4
taxon300	15.20145599	1.99722887	0	1	4	4	2	4
taxon301	22.8240844	0	0	1	4	4	1	3
taxon302	9.01965733	0	0	1	4	4	3	2
taxon303	26.92187065	11.72890295	0	1	4	3	2	3
taxon304	14.32583393	13.29428603	0	1	4	4	2	4
taxon305	20.84039258	5.63914448	0	1	4	3	2	3
taxon306	24.07809818	0	1	3	1	5	2	0
taxon307	4.71395502	4.14676868	1	3	1	3	2	4
taxon308	26.37625822	0	0	1	4	2	2	2
taxon309	3.63868479	2.03337555	0	1	4	2	2	2
taxon310	22.87156386	21.64366219	2	1	0	1	2	4
taxon311	1.81632812	0	2	1	0	2	2	3
taxon312	7.5757929	0	2	1	0	1	2	4
taxon313	3.23898429	2.41468569	2	1	0	1	2	4
taxon314	5.29748475	2.13399371	2	1	0	0	2	4
taxon315	3.969278	1.83923229	2	1	0	1	2	4
taxon316	1.72431341	0	2	1	0	0	3	4
taxon317	3.76810566	0	2	1	0	1	2	4
taxon318	1.74866468	0.17161319	0	3	1	3	1	4
taxon319	9.26252802	2.13113523	0	1	1	3	2	3
taxon320	1.95830751	0.29856373	0	1	1	4	2	4
taxon321	1.43932271	0.97681719	0	1	1	4	2	4
taxon322	8.57549521	7.30878414	0	1	1	4	2	4
taxon323	55.57956407	1.73987568	0	1	1	4	2	4
taxon324	3.60793952	0.84847026	0	1	1	4	2	4
taxon325	3.00059623	2.35036323	0	1	1	3	2	3
taxon326	3.30290983	2.36806525	0	1	1	4	2	4
taxon327	5.17729018	4.19764894	0	1	1	4	2	4
taxon328	8.79764957	7.88727115	0	1	1	4	2	4
taxon329	10.98544765	1.95180492	0	1	1	4	2	4
taxon330	11.55597426	3.51406574	0	1	1	4	2	4
taxon331	4.84588613	0.73675544	0	1	1	4	2	4
taxon332	20.37709322	19.07088232	0	1	1	4	2	4
taxon333	5.42512352	0	0	1	1	4	3	3
taxon334	7.94303704	6.84272421	0	1	1	4	2	4
taxon335	4.74176868	3.96826166	0	1	1	4	2	4
taxon336	11.31606073	5.08629593	0	1	1	4	2	4
taxon337	8.02681264	0	0	1	1	5	2	2
taxon338	1.78835337	1.22308508	0	1	1	4	2	4
taxon339	2.97668322	2.22533787	0	1	1	4	2	4
taxon340	3.02371647	2.36451204	0	1	1	4	2	4
taxon341	15.646795	2.24833069	0	1	1	4	2	4
taxon342	10.99425458	5.26516406	0	1	1	4	2	4
taxon343	16.4846799	10.9950817	0	1	1	3	2	3
taxon344	10.37340103	0	0	1	1	4	2	4
taxon345	11.42684142	3.67222115	0	1	1	4	2	4
taxon346	5.64641304	0.77297856	0	1	1	4	2	4
taxon347	26.04779534	3.61342988	0	1	1	4	2	4
taxon348	5.37734469	1.92610903	0	1	1	3	2	3
taxon349	13.39780016	3.84749826	0	1	1	4	2	4
taxon350	11.14609723	3.85075314	0	1	1	5	2	2
taxon351	1.58412541	1.18733128	0	1	1	4	2	4
taxon352	4.67015799	4.01561159	0	1	1	4	2	4
taxon353	3.25197497	0.20395911	4	4	1	4	2	2
taxon354	23.0495625	16.80055191	4	4	1	4	2	2
taxon355	9.33676041	8.30614167	4	4	1	4	2	2
taxon356	28.64963847	18.63221954	0	3	1	3	2	4
taxon357	2.73288508	2.18033563	1	3	1	4	3	2
taxon358	15.24939288	13.99699471	1	3	1	4	3	2
taxon359	3.13681749	2.59385408	3	1	0	2	4	4
taxon360	2.86141499	2.1988223	3	1	0	2	3	4
taxon361	3.37003978	0	3	1	0	2	3	4
taxon362	3.79004847	2.01934357	3	1	0	2	4	4
taxon363	10.29494836	1.86048753	3	1	0	1	4	3
taxon364	4.80310053	3.91060796	3	1	0	1	4	3
taxon365	4.86229847	4.16838419	3	1	0	1	4	3
taxon366	0.79478496	0	3	1	0	2	4	4
taxon367	1.36497277	1.0083826	3	1	0	2	4	4
taxon368	9.67335456	8.12135517	3	1	0	2	4	4
taxon369	5.38255015	2.26909662	3	1	0	1	4	3
taxon370	3.60394052	2.03745257	0	3	1	4	3	4
taxon371	3.24685416	0	0	3	1	3	3	3
taxon372	16.27955056	10.80316995	0	3	1	3	3	3
taxon373	3.74840084	1.15043065	0	3	1	4	3	4
taxon374	3.59514977	1.89269421	0	3	1	4	3	4
taxon375	8.32052488	7.00565177	0	3	1	3	3	3
taxon376	20.23955922	18.72941489	0	3	1	4	3	4
taxon377	1.4445326	1.03997049	0	3	1	4	3	4
taxon378	16.52197242	11.11232596	0	3	1	3	3	3
taxon379	2.87532336	2.25066101	0	3	1	4	3	4
taxon380	3.60453114	2.18502045	0	3	1	4	3	4
taxon381	22.40685371	11.05261697	0	3	1	3	3	3
taxon382	21.60740295	19.87073287	2	1	0	5	4	1
taxon383	0.7721696	0.10362194	2	1	0	5	4	1
taxon384	20.03794494	18.75226339	2	1	0	4	1	4
taxon385	10.6313299	5.72781339	2	1	0	4	1	4
taxon386	1.51934767	1.05773672	2	1	0	4	1	4
taxon387	0.7940292	0	2	1	0	4	1	4
taxon388	10.00610672	1.88981689	2	1	0	4	1	4
taxon389	1.46016476	1.01393841	2	1	0	4	1	4
taxon390	3.22002041	0	3	1	0	1	2	4
taxon391	16.63418884	10.99998838	3	1	0	4	4	4
taxon392	15.90560612	10.77216492	3	1	0	3	3	4
taxon393	1.98735881	0.98192908	0	2	4	5	1	2
taxon394	22.31360733	17.53106614	0	2	4	5	1	2
taxon395	0.82107357	0	0	2	4	5	1	2
taxon396	20.47411439	0	0	2	4	5	1	2
taxon397	3.35952427	0	3	1	0	4	1	4
taxon398	3.38128391	0.13230025	3	1	0	3	1	4
taxon399	3.23021495	0	3	1	0	2	3	4
taxon400	8.84030078	7.32457977	3	1	0	2	2	4
taxon401	23.88234881	0.1425476	3	1	0	2	1	4
taxon402	22.38565935	16.56986657	3	1	0	2	2	4
taxon403	1.62782702	0	3	1	0	1	3	4
taxon404	1.63469504	1.1409558	3	1	0	2	2	4
taxon405	22.66216276	18.03660401	3	1	0	2	4	4
taxon406	9.4084462	8.01967748	3	1	0	2	4	4
taxon407	21.14605933	20.07881782	3	1	0	2	4	4
taxon408	14.06764635	12.84665902	3	1	0	2	4	4
taxon409	11.52397919	5.70351385	3	1	0	2	4	4
taxon410	10.4986579	1.83781391	3	1	0	2	4	4
taxon411	16.30904427	10.86833906	3	1	0	2	4	4
taxon412	16.11250786	11.4041157	3	1	0	2	4	4
taxon413	20.30543136	18.83478589	3	1	0	2	4	4
taxon414	21.03576063	1.67347585	0	2	1	3	2	2
taxon415	3.68993728	1.8824813	0	3	1	3	2	4
taxon416	2.96750284	2.22767584	0	2	1	3	2	2
taxon417	16.8659629	4.80029869	0	2	1	3	2	2
taxon418	8.3578426	0	0	2	1	3	2	2
taxon419	3.33527266	2.66966609	3	1	0	4	4	4
taxon420	3.50639794	1.7034086	3	1	0	0	3	4
taxon421	32.98092006	0.95561131	0	1	1	5	4	2
taxon422	23.68886837	16.28667489	0	1	1	5	4	4
taxon423	10.26148999	1.7296373	0	1	1	4	2	3
taxon424	9.98275266	0.60210691	0	1	1	4	3	4
taxon425	9.65994244	8.54590102	3	1	0	2	1	4
taxon426	1.79940167	0	3	1	0	2	1	4
taxon427	1.51506446	1.09170619	3	1	0	2	1	4
taxon428	14.59844042	13.48741103	3	1	0	1	5	3
taxon429	1.55738371	1.03657978	3	1	0	1	5	3
taxon430	11.23627926	4.77607642	3	1	0	2	5	2
taxon431	3.35908585	2.01125864	3	1	0	2	5	2
taxon432	10.02479633	9.07731493	3	1	0	1	5	3
taxon433	0.73021888	0.10128961	3	1	0	1	5	3
taxon434	15.74589606	5.1723803	3	1	0	1	5	3
taxon435	14.4894469	4.9424819	3	1	0	1	5	3
taxon436	1.72036102	1.31291455	2	1	0	1	2	0
taxon437	10.15191227	3.62265967	0	1	4	3	1	3
taxon438	23.77697378	0	0	1	4	5	1	3
taxon439	2.75527111	2.15666272	0	1	4	3	1	3
taxon440	10.48301887	1.88641109	0	1	4	3	1	3
taxon441	5.0491228	1.80747036	0	1	4	3	1	3
taxon442	32.73915824	11.41729474	0	1	4	3	1	3
taxon443	5.20766396	2.03901158	0	1	4	3	1	3
taxon444	34.0436524	18.94569709	0	1	4	3	1	3
taxon445	3.78014648	1.96620683	0	1	4	4	1	3
taxon446	0.45691073	0.22264218	0	3	1	4	3	4
taxon447	0.88586939	0	0	1	1	4	2	4
taxon448	1.51656428	1.04400063	3	1	0	0	3	4
taxon449	23.51905437	16.13186851	0	3	1	2	2	4
taxon450	3.24759881	2.59331924	0	3	1	2	2	4
taxon451	1.73960929	0	0	3	1	2	1	3
taxon452	1.51062515	1.10574223	0	3	1	2	2	4
taxon453	22.60941335	16.51803476	0	3	1	2	2	4
taxon454	3.13503027	0	0	3	1	2	3	3
taxon455	3.56708312	1.92261805	0	1	4	1	4	0
taxon456	3.05020961	2.43198766	0	3	1	3	2	3
taxon457	1.77045763	0	2	1	0	3	0	3
taxon458	16.91618493	11.17450442	3	1	0	1	1	4
taxon459	3.10340154	0	3	1	0	2	2	4
taxon460	3.60104326	1.83642751	3	1	0	2	2	4
taxon461	1.64326229	1.22527822	3	1	0	4	2	4
taxon462	4.67938719	3.9542096	2	1	0	1	5	2
taxon463	10.80852818	5.77686289	3	1	0	2	1	4
taxon464	11.37015264	6.03565136	3	1	0	2	1	4
taxon465	3.73683613	1.0097577	2	1	0	1	1	3
taxon466	3.25070702	2.62262841	2	1	0	1	1	3
taxon467	1.45537515	1.05988388	2	1	0	1	1	3
taxon468	3.13737236	0	2	1	0	1	1	3
taxon469	14.05165918	5.89390882	2	1	0	1	2	4
taxon470	1.5428898	1.11747294	2	1	0	1	2	4
taxon471	1.75785741	1.08424414	2	1	0	1	2	4
taxon472	3.33298773	1.93243683	2	1	0	1	2	4
taxon473	2.88123603	2.35312403	2	1	0	1	2	4
taxon474	23.62238967	17.43454896	2	1	0	1	2	4
taxon475	23.52555277	16.53647468	2	1	0	1	2	4
taxon476	11.1515674	4.126983	2	1	0	1	2	4
taxon477	11.2499202	5.17600983	3	1	0	3	1	4
taxon478	21.71140695	6.93240162	3	1	0	3	1	4
taxon479	20.84215982	2.36143783	3	1	0	3	1	4
taxon480	15.13402512	3.53954436	3	1	0	3	1	4
taxon481	23.28156763	10.54251232	3	1	0	3	1	4
taxon482	20.37507482	18.93759157	3	1	0	3	1	4
taxon483	21.09405522	19.72257068	3	1	0	3	1	4
taxon484	20.98876225	19.59200116	3	1	0	2	1	4
taxon485	11.28484517	1.66045442	3	1	0	5	1	4
taxon486	10.97483278	1.94304384	3	1	0	1	4	4
taxon487	9.61371425	3.43884408	1	3	1	2	3	4
taxon488	0.64792842	0.29856464	3	1	0	2	1	4
taxon489	9.06679189	7.65927057	3	1	0	2	3	4
taxon490	0.77835125	0	3	1	0	1	1	4
taxon491	3.73575057	0	3	1	0	1	1	4
