clade	band_id	ts	te
0	214	1999	2000
0	215	1985	2000
0	216	1987	2000
0	217	1992	2000
0	218	1998	2000
0	219	1982	2000
0	221	1990	2000
0	222	2000	2000
0	223	1994	2000
0	224	1994	2000
0	226	2000	2000
0	227	1998	2000
0	228	1983	1989
0	230	1999	2000
0	231	1995	2000
0	233	2000	2000
0	234	1986	2000
0	235	1991	2000
0	236	1993	2000
0	237	1995	2000
0	238	1987	2000
0	239	2000	2000
0	240	1998	2000
0	241	1999	2000
0	242	1991	2000
0	243	1995	2000
0	244	1994	2000
0	245	1999	2000
0	246	1982	2000
0	247	1998	2000
0	248	1983	1998
0	249	1982	2000
0	250	1991	1993
0	251	1998	2000
0	252	1992	2000
0	253	1993	2000
0	254	1986	2000
0	255	1985	2000
0	256	1989	2000
0	257	1985	2000
0	258	1988	2000
0	259	1977	2000
0	260	1991	2000
0	261	1996	2000
0	262	2000	2000
0	263	1992	2000
0	264	1981	2000
0	265	1990	1995
0	266	1999	2000
0	267	1988	2000
0	268	1990	2000
0	269	1984	2000
0	270	1992	2000
0	271	1986	2000
0	272	1985	2000
0	273	1988	2000
0	274	2000	2000
0	275	1998	2000
0	276	1988	2000
0	277	1993	2000
0	278	1995	2000
0	280	1982	2000
0	281	1986	2000
0	282	1992	1993
0	283	1996	2000
0	284	1985	1988
0	285	1987	2000
0	286	1987	2000
0	287	1983	1984
0	288	1995	2000
0	289	1997	2000
0	290	1988	2000
0	291	1994	2000
0	292	1994	2000
0	293	1984	2000
0	294	1999	2000
0	295	1990	2000
0	296	1990	2000
0	297	1998	2000
0	299	1982	2000
0	302	1999	2000
0	303	1992	2000
0	304	1988	2000
0	305	1997	2000
0	306	1981	2000
0	307	1994	2000
0	308	1983	1991
0	310	1984	2000
0	311	1987	2000
0	312	1989	1998
0	313	1990	2000
0	314	1988	2000
0	315	1984	1999
0	316	1986	2000
0	317	1986	2000
0	319	1992	2000
0	320	1987	2000
0	321	2000	2000
0	322	1997	2000
0	323	1995	2000
0	325	1995	2000
0	326	1992	2000
0	327	1999	2000
0	328	1995	2000
0	329	1997	2000
0	330	1991	1999
0	332	1997	2000
0	333	1994	2000
0	334	1986	1995
0	335	1993	2000
0	337	1995	2000
0	338	1990	1996
0	339	1991	2000
0	340	1983	2000
0	341	1992	2000
0	342	1987	2000
0	343	1987	2000
0	344	1991	2000
0	346	1997	2000
0	348	1990	2000
0	350	1989	2000
0	351	1985	1988
0	352	1994	1994
0	353	1993	2000
