it	posterior	likelihood	prior	lambda_avg	mu_avg	K_l	K_m	root_age	death_age	gamma_rate_hp_BI	gamma_rate_hp_D	poisson_rate_hp	corr_coeff	rsquared	gelman_r2
730000	-459.30776313	-453.007643258	-6.30011987221	0.0792921088677	0.00303284776755	3	1	1968.0	2000.5	14.442116073166245	19.924475681071613	2.8001968811949993	0.38922577387	0.483071886207	0.49938761873
740000	-463.480438629	-456.704424821	-6.77601380856	0.0772291098357	0.00543253280568	3	1	1968.0	2000.5	12.842119551553862	13.944474002028828	1.6795329017346081	0.396004470979	0.483929451194	0.50137511629
750000	-462.701595528	-454.640536638	-8.06105888959	0.0835825645539	0.00233715657033	4	1	1968.0	2000.5	32.03052015128268	23.257115082526322	1.955345165886523	0.371671157993	0.477726040586	0.499042477824
760000	-458.359861208	-452.730698861	-5.62916234672	0.0831139921624	0.00211148425978	3	1	1968.0	2000.5	33.97025915099491	25.159830056020574	2.3586655600411737	0.405250594878	0.483314732502	0.497438393231
770000	-456.811104794	-452.51831417	-4.29279062398	0.0742684216513	0.00260409558433	3	1	1968.0	2000.5	19.240121383436687	40.246181684682206	2.476928681901634	0.349152198349	0.478298446196	0.498929454791
780000	-460.835444604	-453.894491497	-6.94095310685	0.072362219104	0.0306134543136	3	2	1968.0	2000.5	10.526141247627578	76.77392516700438	2.000510408417351	0.331358899933	0.457252065163	0.496097592505
790000	-467.019505833	-456.039654587	-10.9798512458	0.0751773295883	0.0287311950717	3	2	1968.0	2000.5	14.0868602918601	7.679282886743106	3.0528686875257574	0.327763553596	0.47373260188	0.509046616331
800000	-461.508868999	-454.64451981	-6.86434918927	0.0703537577636	0.000605797398234	3	1	1968.0	2000.5	12.875493364381093	43.63435596362268	0.8764404996810732	0.306182808282	0.474717388101	0.49571381659
810000	-459.980650894	-456.05198557	-3.92866532419	0.085956451806	0.00341399245388	3	1	1968.0	2000.5	19.166773019059455	57.694443564907196	1.8101263165216013	0.411212263973	0.485441824314	0.49977246053
820000	-469.259703335	-460.838064755	-8.42163857982	0.136753527173	0.00399347766944	3	1	1968.0	2000.5	14.512364769218184	21.28726514299488	1.2181640757843217	0.528306167349	0.581002714212	0.568727701823
830000	-462.22996432	-453.063421252	-9.166543068	0.070825210433	0.00263547966737	4	1	1968.0	2000.5	12.454318176129714	24.20401595640628	2.9467047903929164	0.337871838057	0.475848749945	0.497182047133
840000	-464.227802487	-459.12133054	-5.10647194683	0.0935875187605	0.00426500100935	3	1	1968.0	2000.5	14.427399951696122	37.957580737089586	1.7724629059516916	0.414255090633	0.494637839341	0.506901226708
850000	-460.451400004	-454.219374089	-6.232025915	0.0680260092035	0.00291648835656	3	1	1968.0	2000.5	19.724305195797907	14.370431522082766	1.497190715754612	0.309580342086	0.471063280705	0.496561106967
860000	-468.033099171	-458.487244417	-9.54585475435	0.078899370866	0.00125210232913	3	1	1968.0	2000.5	17.398688822358828	4.804775856897817	1.438577566050384	0.320169371974	0.448129834086	0.473318967138
870000	-461.973548989	-455.40768469	-6.56586429862	0.0714666199373	0.00111619597528	3	1	1968.0	2000.5	34.77847273144788	16.407028412414917	2.0646575901109028	0.304109040104	0.476474767975	0.497481508971
880000	-463.711306811	-453.393394474	-10.3179123373	0.0798438921411	0.00311325704604	3	1	1968.0	2000.5	38.6573668634775	2.909196908016902	1.5699438876115952	0.403302005135	0.484178959328	0.497504532339
890000	-465.450553678	-458.258236728	-7.19231695002	0.119341627776	0.00159425578138	3	1	1968.0	2000.5	23.20906873510301	26.208770614076105	0.582644298497083	0.418853821637	0.645663633003	0.654392714928
900000	-457.881991	-452.705187462	-5.17680353871	0.0705096955182	0.00257571574561	3	1	1968.0	2000.5	12.609629873672194	66.95468063785526	0.7801542466703986	0.347443648943	0.482085944837	0.498340962926
910000	-464.104923523	-459.9001429	-4.20478062352	0.0688638087407	0.0114262047517	3	2	1968.0	2000.5	17.935080692113264	73.83398506704542	3.995775523232816	0.277616763999	0.437522028133	0.476460751852
920000	-457.904395611	-451.5755691	-6.32882651118	0.0728017974843	0.000987556589417	3	1	1968.0	2000.5	22.786851176993288	31.283399886634456	1.0228843542922212	0.360249113346	0.482585480922	0.493999742445
