id	ts	te
1884	2	15
1885	2	4
1886	2	10
1887	2	5
1888	2	13
1889	2	20
1890	2	15
1891	2	14
1892	2	5
1893	2	4
1894	2	8
1895	2	8
1896	2	4
1897	2	5
1898	2	6
1899	2	7
1900	2	10
1901	2	9
1902	2	6
1903	2	6
1904	2	7
1905	2	6
1906	2	5
1907	2	7
1908	2	5
1909	2	4
1910	2	13
1911	2	5
1912	2	3
1913	2	3
1914	2	5
1915	2	8
1916	2	3
1917	2	11
1918	2	3
1919	2	3
1920	2	3
1921	2	8
1922	2	3
1923	2	8
1924	2	19
1925	2	6
1926	2	6
1927	2	8
1928	2	11
1929	2	8
1930	2	4
1931	2	14
1932	2	4
1933	2	13
1934	2	12
1935	2	8
1936	2	4
1937	2	3
1938	2	3
1939	2	10
1940	2	12
1941	2	17
1942	2	7
1943	2	9
1944	2	6
1945	2	6
1946	2	6
1947	2	13
1948	2	5
1949	2	5
1950	2	4
1951	2	3
1952	2	8
1953	2	4
1954	2	13
1955	2	3
1956	2	6
1957	2	3
1958	2	4
1959	2	22
1960	2	3
1961	2	9
1962	2	3
1963	2	20
1964	2	6
1965	2	5
1966	2	16
1967	2	25
1968	2	3
1969	2	11
1970	2	13
1971	2	9
1972	2	7
1973	2	4
1974	2	16
1975	2	13
1976	2	3
1977	2	8
1978	2	6
1979	2	15
1980	2	6
1981	2	7
1982	2	4
1983	2	3
1984	2	13
1985	2	6
1986	2	5
1987	2	3
1988	2	3
1989	2	4
1990	2	3
1991	2	12
1992	2	24
1993	2	5
1994	2	25
1995	2	4
1996	2	5
1997	2	9
1998	2	3
1999	2	5
2000	2	6
2001	2	4
2002	2	3
2003	2	5
2004	2	13
2005	2	11
2006	2	9
2007	2	3
2008	2	8
2009	2	7
2010	2	4
2011	2	11
2012	2	9
2013	2	4
2014	2	18
2015	2	12
2016	3	4
2017	3	8
2018	3	6
2019	3	10
2020	3	4
2021	3	7
2022	3	9
2023	3	7
2024	3	8
2025	3	11
2026	3	6
2027	3	17
2028	3	3
2029	3	8
2030	3	4
2031	3	3
2032	3	3
2033	3	17
2034	3	4
2035	3	16
2036	3	15
2037	3	3
2038	3	13
2039	3	10
2040	3	30
2041	3	3
2042	3	7
2043	3	12
2044	3	3
2045	3	11
2046	3	12
2047	3	3
2048	3	14
2049	3	11
2050	3	3
2051	3	18
2052	3	5
2053	3	27
2054	3	9
2055	3	6
2056	3	13
2057	3	8
2058	3	12
2059	3	8
2060	3	10
2061	3	10
2062	3	19
2063	3	7
2064	3	6
2065	3	7
2066	3	6
2067	3	5
2068	3	3
2069	3	39
2070	3	12
2071	3	15
2072	3	8
2073	3	4
2074	3	13
2075	3	17
2076	3	4
2077	3	13
2078	3	5
2079	3	17
2080	3	3
2081	3	10
2082	3	6
2083	3	3
2084	3	7
2085	3	4
2086	3	17
2087	3	4
2088	3	6
2089	3	5
2090	3	10
2091	3	3
2092	3	7
2093	3	13
2094	3	9
2095	3	15
2096	3	7
2097	3	3
2098	3	7
2099	3	4
2100	3	13
2101	3	31
2102	3	15
2103	3	5
2104	3	10
2105	3	10
2106	3	6
2107	3	13
2108	3	36
2109	3	4
2110	3	4
2111	3	6
2112	3	3
2113	3	12
2114	3	4
2115	3	14
2116	3	4
2117	3	6
2118	3	7
2119	3	4
2120	3	3
2121	3	19
2122	3	6
2123	3	13
